Feature,Coefficient,Absolute_Importance
categorical__timestamp_27-01-2025 19:45,1.3124697688256777,1.3124697688256777
categorical__charging_start_time_27-01-2025 19:50,1.3124697688256777,1.3124697688256777
categorical__arrival_time_28-03-2025 16:00,1.309992142241495,1.309992142241495
categorical__timestamp_28-03-2025 16:00,1.309992142241495,1.309992142241495
categorical__charging_start_time_28-03-2025 16:03,1.309992142241495,1.309992142241495
categorical__timestamp_12-02-2025 21:45,1.3091027061641243,1.3091027061641243
categorical__arrival_time_12-02-2025 21:45,1.3091027061641243,1.3091027061641243
categorical__charging_start_time_12-02-2025 21:50,1.3091027061641243,1.3091027061641243
categorical__arrival_time_11-01-2025 17:15,1.3085444253417595,1.3085444253417595
categorical__timestamp_11-01-2025 17:15,1.3085444253417595,1.3085444253417595
categorical__charging_start_time_11-01-2025 17:26,1.3085444253417595,1.3085444253417595
categorical__charging_start_time_07-02-2025 13:48,1.3082989139023748,1.3082989139023748
categorical__timestamp_07-02-2025 13:45,1.3082989139023748,1.3082989139023748
categorical__arrival_time_07-02-2025 13:45,1.3082989139023748,1.3082989139023748
categorical__charging_start_time_17-03-2025 01:57,1.3072131388873505,1.3072131388873505
categorical__timestamp_17-03-2025 01:45,1.3072131388873505,1.3072131388873505
categorical__arrival_time_17-03-2025 01:45,1.3072131388873505,1.3072131388873505
categorical__charging_start_time_14-03-2025 12:53,-1.3070323900062715,1.3070323900062715
categorical__timestamp_14-03-2025 12:45,-1.3070323900062715,1.3070323900062715
categorical__arrival_time_14-03-2025 12:45,-1.3070323900062715,1.3070323900062715
categorical__timestamp_11-02-2025 13:45,1.3064654304973995,1.3064654304973995
categorical__charging_start_time_11-02-2025 13:53,1.3064654304973995,1.3064654304973995
categorical__arrival_time_11-02-2025 13:45,1.3064654304973995,1.3064654304973995
categorical__arrival_time_01-01-2025 05:00,-1.3051966593505022,1.3051966593505022
categorical__timestamp_01-01-2025 05:00,-1.3051966593505022,1.3051966593505022
categorical__charging_start_time_01-01-2025 05:13,-1.3051966593505022,1.3051966593505022
categorical__timestamp_01-03-2025 14:45,1.3035642451037837,1.3035642451037837
categorical__arrival_time_01-03-2025 14:45,1.3035642451037837,1.3035642451037837
categorical__charging_start_time_01-03-2025 14:55,1.3035642451037837,1.3035642451037837
categorical__timestamp_04-01-2025 02:45,1.301992784886469,1.301992784886469
categorical__arrival_time_04-01-2025 02:45,1.301992784886469,1.301992784886469
categorical__charging_start_time_04-01-2025 02:57,1.301992784886469,1.301992784886469
categorical__charging_start_time_12-01-2025 09:10,-1.300756527947056,1.300756527947056
categorical__timestamp_12-01-2025 09:00,-1.300756527947056,1.300756527947056
categorical__arrival_time_12-01-2025 09:00,-1.300756527947056,1.300756527947056
categorical__arrival_time_13-03-2025 03:00,1.3002233219653603,1.3002233219653603
categorical__timestamp_13-03-2025 03:00,1.3002233219653603,1.3002233219653603
categorical__charging_start_time_13-03-2025 03:12,1.3002233219653603,1.3002233219653603
categorical__charging_start_time_26-03-2025 20:59,-1.3000340994954978,1.3000340994954978
categorical__timestamp_26-03-2025 20:45,-1.3000340994954978,1.3000340994954978
categorical__arrival_time_26-03-2025 20:45,-1.3000340994954978,1.3000340994954978
categorical__timestamp_21-01-2025 10:15,1.2986368564292805,1.2986368564292805
categorical__charging_start_time_21-01-2025 10:29,1.2986368564292805,1.2986368564292805
categorical__arrival_time_21-01-2025 10:15,1.2986368564292805,1.2986368564292805
categorical__charging_start_time_17-02-2025 03:23,-1.298530962840428,1.298530962840428
categorical__timestamp_17-02-2025 03:15,-1.298530962840428,1.298530962840428
categorical__arrival_time_17-02-2025 03:15,-1.298530962840428,1.298530962840428
categorical__charging_start_time_22-01-2025 16:56,1.2963508567757145,1.2963508567757145
categorical__timestamp_22-01-2025 16:45,1.2963508567757145,1.2963508567757145
categorical__arrival_time_22-01-2025 16:45,1.2963508567757145,1.2963508567757145
categorical__charging_start_time_12-03-2025 12:35,-1.29628318000818,1.29628318000818
categorical__arrival_time_12-03-2025 12:30,-1.29628318000818,1.29628318000818
categorical__timestamp_12-03-2025 12:30,-1.29628318000818,1.29628318000818
categorical__arrival_time_09-02-2025 11:45,1.295647158842164,1.295647158842164
categorical__timestamp_09-02-2025 11:45,1.295647158842164,1.295647158842164
categorical__charging_start_time_09-02-2025 11:47,1.295647158842164,1.295647158842164
categorical__charging_start_time_09-03-2025 13:11,-1.295105287220462,1.295105287220462
categorical__arrival_time_09-03-2025 13:00,-1.295105287220462,1.295105287220462
categorical__timestamp_09-03-2025 13:00,-1.295105287220462,1.295105287220462
categorical__charging_start_time_11-02-2025 04:38,1.2941392476030928,1.2941392476030928
categorical__timestamp_11-02-2025 04:30,1.2941392476030928,1.2941392476030928
categorical__arrival_time_11-02-2025 04:30,1.2941392476030928,1.2941392476030928
categorical__timestamp_05-03-2025 00:15,1.2929859591922976,1.2929859591922976
categorical__arrival_time_05-03-2025 00:15,1.2929859591922976,1.2929859591922976
categorical__charging_start_time_05-03-2025 00:23,1.2929859591922976,1.2929859591922976
categorical__charging_start_time_22-02-2025 20:57,-1.292305544554961,1.292305544554961
categorical__timestamp_22-02-2025 20:45,-1.292305544554961,1.292305544554961
categorical__arrival_time_22-02-2025 20:45,-1.292305544554961,1.292305544554961
categorical__timestamp_09-01-2025 02:30,-1.2917111631666471,1.2917111631666471
categorical__charging_start_time_09-01-2025 02:30,-1.2917111631666471,1.2917111631666471
categorical__arrival_time_09-01-2025 02:30,-1.2917111631666471,1.2917111631666471
categorical__charging_start_time_21-02-2025 14:40,1.2912197254111484,1.2912197254111484
categorical__timestamp_21-02-2025 14:30,1.2912197254111484,1.2912197254111484
categorical__arrival_time_21-02-2025 14:30,1.2912197254111484,1.2912197254111484
categorical__arrival_time_20-02-2025 19:45,1.2910432069635522,1.2910432069635522
categorical__timestamp_20-02-2025 19:45,1.2910432069635522,1.2910432069635522
